id,host_name,host_since,latitude,longitude,room_type,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,x,y
15648,Kelly,4/9/2009,19.45943893,-155.8824441,Entire home/apt,1,1,1,90,$795.00 ,"$1,950.00 ",$250.00 ,$95.00 ,2,$45.00 ,t,0,0,0,236,197365.3998,2154202.154
39898,Kelly,4/9/2009,19.46130796,-155.8811162,Entire home/apt,1,1,1,95,$650.00 ,"$1,750.00 ",$150.00 ,$95.00 ,2,$45.00 ,t,2,2,2,277,197508.3823,2154406.833
202338,Ira,8/18/2011,19.43501813,-155.2235815,Entire home/apt,1,1,1,129,$876.00 ,,,,2,$20.00 ,t,15,27,48,315,266537.2267,2150470.289
205804,Kelly,4/9/2009,19.45906067,-155.8817808,Entire home/apt,1,1,1,90,$686.00 ,"$1,500.00 ",$750.00 ,$95.00 ,1,$10.00 ,t,0,1,1,250,197434.3846,2154159.088
250414,Charles And Corrina,10/19/2011,19.51778584,-155.9208753,Private room,1.5,1,1,80,$800.00 ,"$3,000.00 ",$0.00 ,$60.00 ,2,$10.00 ,t,23,53,82,351,193437.7107,2160733.206
354577,Caryl,2/23/2012,19.72313409,-155.9951044,Entire home/apt,1,1,1,83,$665.00 ,"$2,375.00 ",$150.00 ,$45.00 ,2,$10.00 ,t,1,5,5,279,186041.1182,2183614.9
461449,Rick,5/4/2012,19.30380648,-155.8680837,Entire home/apt,1,1,1,75,$475.00 ,"$1,800.00 ",$200.00 ,$75.00 ,1,$0.00 ,t,13,16,24,292,198587.5195,2136938.858
766925,Beth,11/2/2012,19.56298622,-155.9616492,Entire home/apt,1,1,2,125,$750.00 ,"$2,100.00 ",$200.00 ,$135.00 ,2,$10.00 ,t,13,13,17,257,189241.9408,2165813.562
1244222,Akiko,6/7/2013,19.88913494,-155.1257209,Entire home/apt,1.5,3,4,150,$875.00 ,"$1,850.00 ",,,2,$15.00 ,t,20,44,74,349,277443.7128,2200618.033
1431835,Andy,7/22/2013,20.11889085,-155.5771057,Private room,1,1,1,199,"$1,194.00 ","$4,776.00 ",,$75.00 ,2,$15.00 ,t,8,18,31,279,230554.4143,2226723.191
1488260,Andy,7/22/2013,20.11914788,-155.576233,Entire home/apt,1,0,1,249,"$1,494.00 ","$5,976.00 ",,$75.00 ,2,$15.00 ,t,7,13,25,293,230646.146,2226750.244
1489040,Andy,7/22/2013,20.117722,-155.5783179,Entire home/apt,1,2,2,249,"$1,494.00 ","$5,976.00 ",,$75.00 ,4,$15.00 ,t,6,11,28,290,230425.6037,2226595.708
1795616,Charles And Corrina,10/19/2011,19.5172184,-155.920517,Private room,1,1,1,95,$675.00 ,"$2,600.00 ",,$60.00 ,2,$10.00 ,t,22,52,82,357,193474.2705,2160669.711
1913262,Yoshieh & Guy,11/10/2013,19.52312513,-154.8555694,Entire home/apt,1,1,1,60,$420.00 ,,$0.00 ,$0.00 ,1,$10.00 ,t,22,52,82,350,305293.3085,2159765.647
2136529,Kat And Joe,5/29/2012,19.27471683,-155.8716991,Entire home/apt,1,1,1,85,$500.00 ,,,$100.00 ,2,$35.00 ,t,0,1,31,306,198153.9288,2133723.168
2263501,A.T. And E.M.,1/23/2014,19.52771551,-154.9201987,Entire home/apt,1,2,3,120,$700.00 ,"$2,200.00 ",$250.00 ,$100.00 ,2,$20.00 ,t,0,0,29,292,298515.4355,2160348.539
2361818,Tino,2/8/2014,19.13900325,-155.7317152,Entire home/apt,1,0,1,85,,,$150.00 ,$25.00 ,1,$0.00 ,t,30,60,90,365,212640.801,2118455.11
2817747,Tim,4/17/2014,19.20757677,-155.899772,Entire home/apt,2,2,4,99,$550.00 ,"$1,950.00 ",$300.00 ,$120.00 ,2,$20.00 ,t,0,8,28,281,195077.0552,2126335.703
