,Unnamed: 0,STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE,x,y
0,0,200 LIQUORS,48663.0,17055.0,5000.0,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170314000000000.0,41.80942389,-87.6209518,448420.9767436221,4628803.462564002
1,1,3600 COMMISSARY,24279.0,9830.0,3800.0,B,3600 N LAKE SHORE DR,60613,LAKE VIEW,6,46,17031060900,170311000000000.0,41.94868367,-87.64364976,446651.5297042362,4644278.969133759
2,2,4343 PETES FRESH MARKET,1336669.0,260303.0,57000.0,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170316000000000.0,41.81391431,-87.72366494,439893.3162496827,4629368.760639604
3,3,4700 PETE'S FRESH MARKET,1243125.0,245519.0,45000.0,A,4700 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031842800,170318000000000.0,41.80804727,-87.70411882,441511.464243346,4628703.878719792
4,4,5659 W. DIVERSEY,1575023.0,277375.0,4000.0,B,5659 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190602,170312000000000.0,41.9311354,-87.76861213,436276.57758104044,4642415.939365376
5,5,"7400 S HALSTED FOOD AND LIQUORS, INC.",980.0,186.0,10001.0,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170317000000000.0,41.75967458,-87.64442024,446430.1777891668,4623294.372913423
6,6,79 FOOD BASKET,1958784.0,341069.0,3000.0,B,1351 W 79TH ST,60620,AUBURN GRESHAM,71,21,17031710700,170317000000000.0,41.75032112,-87.65818905,445277.6439340521,4622264.571349777
7,7,A & B FOOD MARKET INC,43181.0,6483.0,10001.0,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170313000000000.0,41.90216644,-87.75318235,437527.57706781244,4639188.21228556
8,8,A & G LIQUORS,44373.0,35423.0,4800.0,B,6945 S STATE ST,60637,GREATER GRAND CROSSING,69,6,17031690400,170317000000000.0,41.76783128,-87.62476594,448070.5994270922,4624187.9181725085
9,9,A & R FOOD MART,9125.0,4227.0,2500.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170312000000000.0,41.92059646,-87.77519268,435720.42081152153,4641250.728354221
10,10,A & R FOOD MART,1954411.0,340750.0,3500.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170312000000000.0,41.92059646,-87.77519268,435720.42081152153,4641250.728354221
11,11,AARAY GROCERY,1900.0,62541.0,10001.0,A,2601 N HALSTED ST,60614,LINCOLN PARK,7,43,17031070200,170311000000000.0,41.92920982,-87.64874627,446212.7443697712,4642120.0027291775
12,12,ADA FOODS,50473.0,56673.0,4500.0,B,1281 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031671800,170317000000000.0,41.76489418,-87.6573078,445363.27440129116,4623881.985109544
13,13,ADAMS FOOD MART,1817376.0,316090.0,2500.0,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170313000000000.0,41.89103355,-87.75530965,437340.2459096322,4637953.702164443
14,14,AL BAYAN GROCERY INC.,1542202.0,282078.0,2500.0,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,170318000000000.0,41.93756465,-87.78605437,434837.026839191,4643142.881840464
15,15,ALDI,1959623.0,5273.0,15680.0,A,6221 N BROADWAY,60660,EDGEWATER,77,49,17031030103,170310000000000.0,41.99521146,-87.66027799,445313.11876534903,4649455.391701829
16,16,ALDI,1922075.0,5273.0,16615.0,A,6621 S COTTAGE GROVE AVE,60637,WOODLAWN,42,5,17031420800,170314000000000.0,41.77430588,-87.60564803,449664.7140032626,4624895.395579199
17,17,ALDI #28,1519765.0,5273.0,15154.0,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,170316000000000.0,41.80344571,-87.70398627,441518.2900504666,4628192.89555987
18,18,ALDI #30,1547427.0,5273.0,15154.0,A,3030 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,12,17031840800,170318000000000.0,41.83811415,-87.70499446,441466.119209362,4632042.691515958
19,19,ALDI #32,1975885.0,5273.0,16924.0,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,170318000000000.0,41.91442371,-87.65462784,445712.5715298225,4640482.034977766
20,20,ALDI #70,1997726.0,5273.0,18263.0,A,7627 S ASHLAND AVE,60620,AUBURN GRESHAM,71,17,17031710300,170317000000000.0,41.75499092,-87.66340416,444848.05108622793,4622786.365486872
21,21,ALDI #79,1515471.0,5273.0,15150.0,A,7800 S SOUTH CHICAGO AVE,60619,AVALON PARK,45,5,17031834300,170318000000000.0,41.75274564,-87.58752349,451154.697532409,4622491.221924356
22,22,ALDI FOODS #91,13994.0,5273.0,15565.0,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,170313000000000.0,41.88065941,-87.72219367,440077.8382245545,4636778.232636027
23,23,ALDI FOODS -STORE #04,13988.0,5273.0,12500.0,A,800 N KEDZIE AVE,60651,HUMBOLDT PARK,23,27,17031836600,170318000000000.0,41.89561531,-87.70670533,441376.62635872967,4638428.052211152
24,24,ALDI FOODS STORE #2,14004.0,5273.0,15600.0,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,170312000000000.0,41.93146094,-87.74371731,438340.86192013754,4642433.880168269
25,25,ALDI FOODS STORE #26,13998.0,5273.0,15540.0,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170311000000000.0,41.928695,-87.67419508,444102.3353388719,4642079.120934144
26,26,ALDI FOODS STORE #30,14000.0,5273.0,14860.0,A,4030 W WRIGHTWOOD AVE,60639,LOGAN SQUARE,22,31,17031220702,170312000000000.0,41.92820785,-87.72815856,439627.72653359437,4642061.622141089
27,27,ALDI FOODS STORE #90B,13992.0,5273.0,15565.0,A,2828 N CENTRAL AVE,60634,BELMONT CRAGIN,19,31,17031190402,170312000000000.0,41.93215768,-87.7664246,436458.95522663294,4642527.818120834
28,28,ALDI FOODS-STORE #27,13986.0,5273.0,12300.0,A,3363 N MILWAUKEE AVE,60641,IRVING PARK,16,30,17031161300,170312000000000.0,41.94238351,-87.72901086,439570.4449410463,4643636.1259621475
29,29,ALDI INC # 62,13984.0,5273.0,12646.0,A,6220 N CALIFORNIA AVE,60659,WEST RIDGE,2,50,17031020702,170310000000000.0,41.99462096,-87.69968686,442048.5649657642,4649415.74772896
30,30,ALDI INC #06,13978.0,5273.0,14000.0,A,5001 N PULASKI RD,60630,ALBANY PARK,14,39,17031140302,170311000000000.0,41.97198122,-87.7279869,439683.2410969707,4646921.60848707
31,31,ALDI INC #10,14002.0,5273.0,15540.0,A,4501 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170316000000000.0,41.81145154,-87.72357465,439898.51336526114,4629095.265443047
32,32,ALDI INC #53,13964.0,5273.0,13981.0,A,5775 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170316000000000.0,41.79638049,-87.75734757,437078.5081238826,4627446.155850272
