,Unnamed: 0,STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE,x,y
0,0,200 LIQUORS,48663.0,17055.0,5000.0,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170314000000000.0,41.80942389,-87.6209518,448420.95221335994,4628803.461300096
1,1,3600 COMMISSARY,24279.0,9830.0,3800.0,B,3600 N LAKE SHORE DR,60613,LAKE VIEW,6,46,17031060900,170311000000000.0,41.94868367,-87.64364976,446651.4917856264,4644278.962522871
2,2,4343 PETES FRESH MARKET,1336669.0,260303.0,57000.0,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170316000000000.0,41.81391431,-87.72366494,439893.2947900686,4629368.7605340155
3,3,4700 PETE'S FRESH MARKET,1243125.0,245519.0,45000.0,A,4700 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031842800,170318000000000.0,41.80804727,-87.70411882,441511.4426534795,4628703.878595541
4,4,5659 W. DIVERSEY,1575023.0,277375.0,4000.0,B,5659 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190602,170312000000000.0,41.9311354,-87.76861213,436276.5477698339,4642415.935179605
5,5,"7400 S HALSTED FOOD AND LIQUORS, INC.",980.0,186.0,10001.0,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170317000000000.0,41.75967458,-87.64442024,446430.159118539,4623294.373971866
6,6,79 FOOD BASKET,1958784.0,341069.0,3000.0,B,1351 W 79TH ST,60620,AUBURN GRESHAM,71,21,17031710700,170317000000000.0,41.75032112,-87.65818905,445277.62655989866,4622264.572962414
7,7,A & B FOOD MARKET INC,43181.0,6483.0,10001.0,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170313000000000.0,41.90216644,-87.75318235,437527.5490750698,4639188.209041667
8,8,A & G LIQUORS,44373.0,35423.0,4800.0,B,6945 S STATE ST,60637,GREATER GRAND CROSSING,69,6,17031690400,170317000000000.0,41.76783128,-87.62476594,448070.57938379305,4624187.918648273
9,9,A & R FOOD MART,9125.0,4227.0,2500.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170312000000000.0,41.92059646,-87.77519268,435720.39215325576,4641250.724685446
10,10,A & R FOOD MART,1954411.0,340750.0,3500.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170312000000000.0,41.92059646,-87.77519268,435720.39215325576,4641250.724685446
11,11,AARAY GROCERY,1900.0,62541.0,10001.0,A,2601 N HALSTED ST,60614,LINCOLN PARK,7,43,17031070200,170311000000000.0,41.92920982,-87.64874627,446212.70869095775,4642119.996977324
12,12,ADA FOODS,50473.0,56673.0,4500.0,B,1281 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031671800,170317000000000.0,41.76489418,-87.6573078,445363.2555482011,4623881.986121503
13,13,ADAMS FOOD MART,1817376.0,316090.0,2500.0,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170313000000000.0,41.89103355,-87.75530965,437340.21894800174,4637953.699396902
14,14,AL BAYAN GROCERY INC.,1542202.0,282078.0,2500.0,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,170318000000000.0,41.93756465,-87.78605437,434836.99723814265,4643142.87763977
15,15,ALDI,1959623.0,5273.0,15680.0,A,6221 N BROADWAY,60660,EDGEWATER,77,49,17031030103,170310000000000.0,41.99521146,-87.66027799,445313.0771564876,4649455.383439161
16,16,ALDI,1922075.0,5273.0,16615.0,A,6621 S COTTAGE GROVE AVE,60637,WOODLAWN,42,5,17031420800,170314000000000.0,41.77430588,-87.60564803,449664.69273593614,4624895.395545697
